===========================================================
 Line      YEAR     MONTH    DAY    HOUR    MIN    TEMP       
259560     2021       7       1       5     59      1
259561     2021       7       1       6      0      1
259562     2021       7       1       6      1      1
259563     2021       7       1       6      2      1
259564     2021       7       1       6      3      1
259565     2021       7       1       6      4      1
259566     2021       7       1       6      5      1
259567     2021       7       1       6      6      1
259568     2021       7       1       6      7      1
259569     2021       7       1       6      8      1
259570     2021       7       1       6      9      1
259571     2021       7       1       6     10      1
259572     2021       7       1       6     11      1
259573     2021       7       1       6     12      1
259574     2021       7       1       6     13      1
259575     2021       7       1       6     14      1
259576     2021       7       1       6     15      1
259577     2021       7       1       6     16      1
259578     2021       7       1       6     17      1
259579     2021       7       1       6     18      1
259580     2021       7       1       6     19      1
259581     2021       7       1       6     20      1
259582     2021       7       1       6     21      1
259583     2021       7       1       6     22      1
259584     2021       7       1       6     23      1
259585     2021       7       1       6     24      1
259586     2021       7       1       6     25      1
259587     2021       7       1       6     26      1
259588     2021       7       1       6     27      1
259589     2021       7       1       6     28      1
259590     2021       7       1       6     29      1
259591     2021       7       1       6     30      1
259592     2021       7       1       6     31      1
259593     2021       7       1       6     32      1
259594     2021       7       1       6     33      1
259595     2021       7       1       6     34      1
259596     2021       7       1       6     35      1
259597     2021       7       1       6     36      1
259598     2021       7       1       6     37      1
259599     2021       7       1       6     38      1
259600     2021       7       1       6     39      1
259601     2021       7       1       6     40      1
259602     2021       7       1       6     41      1
259603     2021       7       1       6     42      1
259604     2021       7       1       6     43      1
259605     2021       7       1       6     44      1
259606     2021       7       1       6     45      1
259607     2021       7       1       6     46      1
259608     2021       7       1       6     47      1
259609     2021       7       1       6     48      1
259610     2021       7       1       6     49      1
259611     2021       7       1       6     50      1
259612     2021       7       1       6     51      1
259613     2021       7       1       6     52      1
259614     2021       7       1       6     53      1
259615     2021       7       1       6     54      1
259616     2021       7       1       6     55      1
259617     2021       7       1       6     56      1
259618     2021       7       1       6     57      1
259619     2021       7       1       6     58      1
259620     2021       7       1       6     59      1
259621     2021       7       1       7      0      1
259622     2021       7       1       7      1      1
259623     2021       7       1       7      2      1
259624     2021       7       1       7      3      1
259625     2021       7       1       7      4      1
259626     2021       7       1       7      5      1
259627     2021       7       1       7      6      1
259628     2021       7       1       7      7      1
259629     2021       7       1       7      8      1
259630     2021       7       1       7      9      1
259631     2021       7       1       7     10      1
259632     2021       7       1       7     11      1
259633     2021       7       1       7     12      1
259634     2021       7       1       7     13      1
259635     2021       7       1       7     14      1
259636     2021       7       1       7     15      1
259637     2021       7       1       7     16      1
259638     2021       7       1       7     17      1
259639     2021       7       1       7     18      1
259640     2021       7       1       7     19      1
259641     2021       7       1       7     20      1
259642     2021       7       1       7     21      1
259643     2021       7       1       7     22      1
259644     2021       7       1       7     23      1
259645     2021       7       1       7     24      1
259646     2021       7       1       7     25      1
259647     2021       7       1       7     26      1
259648     2021       7       1       7     27      1
259649     2021       7       1       7     28      1
259650     2021       7       1       7     29      1
259651     2021       7       1       7     30      1
259652     2021       7       1       7     31      1
259653     2021       7       1       7     32      1
259654     2021       7       1       7     33      1
259655     2021       7       1       7     34      1
259656     2021       7       1       7     35      1
259657     2021       7       1       7     36      1
259658     2021       7       1       7     37      1
259659     2021       7       1       7     38      1
259660     2021       7       1       7     39      1
259661     2021       7       1       7     40      1
259662     2021       7       1       7     41      1
259663     2021       7       1       7     42      1
259664     2021       7       1       7     43      1
259665     2021       7       1       7     44      1
259666     2021       7       1       7     45      1
259667     2021       7       1       7     46      1
259668     2021       7       1       7     47      1
259669     2021       7       1       7     48      1
259670     2021       7       1       7     49      1
259671     2021       7       1       7     50      1
259672     2021       7       1       7     51      1
259673     2021       7       1       7     52      1
259674     2021       7       1       7     53      1
259675     2021       7       1       7     54      1
259676     2021       7       1       7     55      1
259677     2021       7       1       7     56      1
259678     2021       7       1       7     57      1
259679     2021       7       1       7     58      1
259680     2021       7       1       7     59      1
259681     2021       7       1       8      0      1
259682     2021       7       1       8      1      1
259683     2021       7       1       8      2      1
259684     2021       7       1       8      3      1
259685     2021       7       1       8      4      1
259686     2021       7       1       8      5      1
259687     2021       7       1       8      6      1
259688     2021       7       1       8      7      1
259689     2021       7       1       8      8      1
259690     2021       7       1       8      9      1
259691     2021       7       1       8     10      1
259692     2021       7       1       8     11      1
259693     2021       7       1       8     12      1
259694     2021       7       1       8     13      1
259695     2021       7       1       8     14      1
259696     2021       7       1       8     15      1
259697     2021       7       1       8     16      1
259698     2021       7       1       8     17      1
259699     2021       7       1       8     18      1
259700     2021       7       1       8     19      1
259701     2021       7       1       8     20      1
259702     2021       7       1       8     21      1
259703     2021       7       1       8     22      1
259704     2021       7       1       8     23      1
259705     2021       7       1       8     24      1
259706     2021       7       1       8     25      1
259707     2021       7       1       8     26      1
259708     2021       7       1       8     27      1
259709     2021       7       1       8     28      1
259710     2021       7       1       8     29      1
259711     2021       7       1       8     30      1
259712     2021       7       1       8     31      1
259713     2021       7       1       8     32      1
259714     2021       7       1       8     33      1
259715     2021       7       1       8     34      1
259716     2021       7       1       8     35      1
259717     2021       7       1       8     36      1
259718     2021       7       1       8     37      1
259719     2021       7       1       8     38      1
259720     2021       7       1       8     39      1
259721     2021       7       1       8     40      1
259722     2021       7       1       8     41      1
259723     2021       7       1       8     42      1
259724     2021       7       1       8     43      1
259725     2021       7       1       8     44      1
259726     2021       7       1       8     45      1
259727     2021       7       1       8     46      1
259728     2021       7       1       8     47      1
259729     2021       7       1       8     48      1
259730     2021       7       1       8     49      1
259731     2021       7       1       8     50      1
259732     2021       7       1       8     51      1
259733     2021       7       1       8     52      1
259734     2021       7       1       8     53      1
259735     2021       7       1       8     54      1
259736     2021       7       1       8     55      1
259737     2021       7       1       8     56      1
259738     2021       7       1       8     57      1
259739     2021       7       1       8     58      1
259740     2021       7       1       8     59      1
259741     2021       7       1       9      0      1
259742     2021       7       1       9      1      1
259743     2021       7       1       9      2      1
259744     2021       7       1       9      3      1
259745     2021       7       1       9      4      1
259746     2021       7       1       9      5      1
259747     2021       7       1       9      6      1
259748     2021       7       1       9      7      1
259749     2021       7       1       9      8      1
259750     2021       7       1       9      9      1
259751     2021       7       1       9     10      1
259752     2021       7       1       9     11      1
259753     2021       7       1       9     12      1
259754     2021       7       1       9     13      1
259755     2021       7       1       9     14      1
259756     2021       7       1       9     15      1
259757     2021       7       1       9     16      1
259758     2021       7       1       9     17      1
259759     2021       7       1       9     18      1
259760     2021       7       1       9     19      1
259761     2021       7       1       9     20      1
259762     2021       7       1       9     21      1
259763     2021       7       1       9     22      1
259764     2021       7       1       9     23      1
259765     2021       7       1       9     24      1
259766     2021       7       1       9     25      1
259767     2021       7       1       9     26      1
259768     2021       7       1       9     27      1
259769     2021       7       1       9     28      1
259770     2021       7       1       9     29      1
259771     2021       7       1       9     30      1
259772     2021       7       1       9     31      1
259773     2021       7       1       9     32      1
259774     2021       7       1       9     33      1
259775     2021       7       1       9     34      1
259776     2021       7       1       9     35      1
259777     2021       7       1       9     36      1
259778     2021       7       1       9     37      1
259779     2021       7       1       9     38      1
259780     2021       7       1       9     39      1
259781     2021       7       1       9     40      1
259782     2021       7       1       9     41      1
259783     2021       7       1       9     42      1
259784     2021       7       1       9     43      1
259785     2021       7       1       9     44      1
259786     2021       7       1       9     45      1
259787     2021       7       1       9     46      1
259788     2021       7       1       9     47      1
259789     2021       7       1       9     48      1
259790     2021       7       1       9     49      1
259791     2021       7       1       9     50      1
259792     2021       7       1       9     51      1
259793     2021       7       1       9     52      1
259794     2021       7       1       9     53      1
259795     2021       7       1       9     54      1
259796     2021       7       1       9     55      1
259797     2021       7       1       9     56      1
259798     2021       7       1       9     57      1
259799     2021       7       1       9     58      1
259800     2021       7       1       9     59      1
259801     2021       7       1      10      0      1
259802     2021       7       1      10      1      1
259803     2021       7       1      10      2      1
259804     2021       7       1      10      3      1
259805     2021       7       1      10      4      1
259806     2021       7       1      10      5      1
259807     2021       7       1      10      6      1
259808     2021       7       1      10      7      1
259809     2021       7       1      10      8      1
259810     2021       7       1      10      9      1
259811     2021       7       1      10     10      1
259812     2021       7       1      10     11      1
259813     2021       7       1      10     12      1
259814     2021       7       1      10     13      1
259815     2021       7       1      10     14      1
259816     2021       7       1      10     15      1
259817     2021       7       1      10     16      1
259818     2021       7       1      10     17      1
259819     2021       7       1      10     18      1
259820     2021       7       1      10     19      1
259821     2021       7       1      10     20      1
259822     2021       7       1      10     21      1
259823     2021       7       1      10     22      1
259824     2021       7       1      10     23      1
259825     2021       7       1      10     24      1
259826     2021       7       1      10     25      1
259827     2021       7       1      10     26      1
259828     2021       7       1      10     27      1
259829     2021       7       1      10     28      1
259830     2021       7       1      10     29      1
259831     2021       7       1      10     30      1
259832     2021       7       1      10     31      1
259833     2021       7       1      10     32      1
259834     2021       7       1      10     33      1
259835     2021       7       1      10     34      1
259836     2021       7       1      10     35      1
259837     2021       7       1      10     36      1
259838     2021       7       1      10     37      1
259839     2021       7       1      10     38      1
259840     2021       7       1      10     39      1
259841     2021       7       1      10     40      1
259842     2021       7       1      10     41      1
259843     2021       7       1      10     42      1
259844     2021       7       1      10     43      1
259845     2021       7       1      10     44      1
259846     2021       7       1      10     45      1
259847     2021       7       1      10     46      1
259848     2021       7       1      10     47      1
259849     2021       7       1      10     48      1
259850     2021       7       1      10     49      1
259851     2021       7       1      10     50      1
259852     2021       7       1      10     51      1
259853     2021       7       1      10     52      1
259854     2021       7       1      10     53      1
259855     2021       7       1      10     54      1
259856     2021       7       1      10     55      1
259857     2021       7       1      10     56      1
259858     2021       7       1      10     57      1
259859     2021       7       1      10     58      1
259860     2021       7       1      10     59      1
259861     2021       7       1      11      0      1
259862     2021       7       1      11      1      1
259863     2021       7       1      11      2      1
259864     2021       7       1      11      3      1
259865     2021       7       1      11      4      1
259866     2021       7       1      11      5      1
259867     2021       7       1      11      6      1
259868     2021       7       1      11      7      1
259869     2021       7       1      11      8      1
259870     2021       7       1      11      9      1
259871     2021       7       1      11     10      1
259872     2021       7       1      11     11      1
259873     2021       7       1      11     12      1
259874     2021       7       1      11     13      1
259875     2021       7       1      11     14      1
259876     2021       7       1      11     15      1
259877     2021       7       1      11     16      1
259878     2021       7       1      11     17      1
259879     2021       7       1      11     18      1
259880     2021       7       1      11     19      1
259881     2021       7       1      11     20      1
259882     2021       7       1      11     21      1
259883     2021       7       1      11     22      1
259884     2021       7       1      11     23      1
259885     2021       7       1      11     24      1
259886     2021       7       1      11     25      1
259887     2021       7       1      11     26      1
259888     2021       7       1      11     27      1
259889     2021       7       1      11     28      1
259890     2021       7       1      11     29      1
259891     2021       7       1      11     30      1
259892     2021       7       1      11     31      1
259893     2021       7       1      11     32      1
259894     2021       7       1      11     33      1
259895     2021       7       1      11     34      1
259896     2021       7       1      11     35      1
259897     2021       7       1      11     36      1
259898     2021       7       1      11     37      1
259899     2021       7       1      11     38      1
259900     2021       7       1      11     39      1
259901     2021       7       1      11     40      1
259902     2021       7       1      11     41      1
259903     2021       7       1      11     42      1
259904     2021       7       1      11     43      1
259905     2021       7       1      11     44      1
259906     2021       7       1      11     45      1
259907     2021       7       1      11     46      1
259908     2021       7       1      11     47      1
259909     2021       7       1      11     48      1
259910     2021       7       1      11     49      1
259911     2021       7       1      11     50      1
259912     2021       7       1      11     51      1
259913     2021       7       1      11     52      1
259914     2021       7       1      11     53      1
259915     2021       7       1      11     54      1
259916     2021       7       1      11     55      1
259917     2021       7       1      11     56      1
259918     2021       7       1      11     57      1
259919     2021       7       1      11     58      1
259920     2021       7       1      11     59      1
259921     2021       7       1      12      0      1
259922     2021       7       1      12      1      1
259923     2021       7       1      12      2      1
259924     2021       7       1      12      3      1
259925     2021       7       1      12      4      1
259926     2021       7       1      12      5      1
259927     2021       7       1      12      6      1
259928     2021       7       1      12      7      1
259929     2021       7       1      12      8      1
259930     2021       7       1      12      9      1
259931     2021       7       1      12     10      1
259932     2021       7       1      12     11      1
259933     2021       7       1      12     12      1
259934     2021       7       1      12     13      1
259935     2021       7       1      12     14      1
259936     2021       7       1      12     15      1
259937     2021       7       1      12     16      1
259938     2021       7       1      12     17      1
259939     2021       7       1      12     18      1
259940     2021       7       1      12     19      1
259941     2021       7       1      12     20      1
259942     2021       7       1      12     21      1
259943     2021       7       1      12     22      1
259944     2021       7       1      12     23      1
259945     2021       7       1      12     24      1
259946     2021       7       1      12     25      1
259947     2021       7       1      12     26      1
259948     2021       7       1      12     27      1
259949     2021       7       1      12     28      1
259950     2021       7       1      12     29      1
259951     2021       7       1      12     30      1
259952     2021       7       1      12     31      1
259953     2021       7       1      12     32      1
259954     2021       7       1      12     33      1
259955     2021       7       1      12     34      1
259956     2021       7       1      12     35      1
259957     2021       7       1      12     36      1
259958     2021       7       1      12     37      1
259959     2021       7       1      12     38      1
259960     2021       7       1      12     39      1
259961     2021       7       1      12     40      1
259962     2021       7       1      12     41      1
259963     2021       7       1      12     42      1
259964     2021       7       1      12     43      1
259965     2021       7       1      12     44      1
259966     2021       7       1      12     45      1
259967     2021       7       1      12     46      1
259968     2021       7       1      12     47      1
259969     2021       7       1      12     48      1
259970     2021       7       1      12     49      1
259971     2021       7       1      12     50      1
259972     2021       7       1      12     51      1
259973     2021       7       1      12     52      1
259974     2021       7       1      12     53      1
259975     2021       7       1      12     54      1
259976     2021       7       1      12     55      1
259977     2021       7       1      12     56      1
259978     2021       7       1      12     57      1
259979     2021       7       1      12     58      1
259980     2021       7       1      12     59      1
259981     2021       7       1      13      0      1
259982     2021       7       1      13      1      1
259983     2021       7       1      13      2      1
259984     2021       7       1      13      3      1
259985     2021       7       1      13      4      1
259986     2021       7       1      13      5      1
259987     2021       7       1      13      6      1
259988     2021       7       1      13      7      1
259989     2021       7       1      13      8      1
259990     2021       7       1      13      9      1
259991     2021       7       1      13     10      1
259992     2021       7       1      13     11      1
259993     2021       7       1      13     12      1
259994     2021       7       1      13     13      1
259995     2021       7       1      13     14      1
259996     2021       7       1      13     15      1
259997     2021       7       1      13     16      1
259998     2021       7       1      13     17      1
259999     2021       7       1      13     18      1
260000     2021       7       1      13     19      1
260001     2021       7       1      13     20      1
260002     2021       7       1      13     21      1
260003     2021       7       1      13     22      1
260004     2021       7       1      13     23      1
260005     2021       7       1      13     24      1
260006     2021       7       1      13     25      1
260007     2021       7       1      13     26      1
260008     2021       7       1      13     27      1
260009     2021       7       1      13     28      1
260010     2021       7       1      13     29      1
260011     2021       7       1      13     30      1
260012     2021       7       1      13     31      1
260013     2021       7       1      13     32      1
260014     2021       7       1      13     33      1
260015     2021       7       1      13     34      1
260016     2021       7       1      13     35      1
260017     2021       7       1      13     36      1
260018     2021       7       1      13     37      1
260019     2021       7       1      13     38      1
260020     2021       7       1      13     39      1
260021     2021       7       1      13     40      1
260022     2021       7       1      13     41      1
260023     2021       7       1      13     42      1
260024     2021       7       1      13     43      1
260025     2021       7       1      13     44      1
260026     2021       7       1      13     45      1
260027     2021       7       1      13     46      1
260028     2021       7       1      13     47      1
260029     2021       7       1      13     48      1
260030     2021       7       1      13     49      1
260031     2021       7       1      13     50      1
260032     2021       7       1      13     51      1
